/SUB_TOP_R (plaintext=110) X,/SUB_TOP_R (plaintext=110) Y
0,4.393762584697035e-05
5e-11,4.432264089798014e-05
9.999999999999999e-11,4.455686545086481e-05
1.5e-10,4.453644414043035e-05
2e-10,4.453755626237964e-05
2.5e-10,4.453759724703165e-05
2.999999999999999e-10,4.45376038948871e-05
3.499999999999999e-10,4.453759514903307e-05
3.999999999999999e-10,4.453760342671676e-05
4.499999999999999e-10,4.453759797121909e-05
4.999999999999999e-10,4.453760279665318e-05
5.5e-10,4.453759914693367e-05
6e-10,4.453760254486687e-05
6.5e-10,4.453759975952655e-05
7.000000000000001e-10,4.453760240917109e-05
7.500000000000001e-10,4.453760013959284e-05
8.000000000000001e-10,4.453760233024746e-05
8.500000000000002e-10,4.453760058886613e-05
9.000000000000002e-10,4.453760170166928e-05
9.500000000000002e-10,4.453760083005244e-05
1e-09,4.453760058082146e-05
1.05e-09,4.453760111640069e-05
1.1e-09,4.453760165197993e-05
1.15e-09,4.453760090357654e-05
1.2e-09,4.453760071568717e-05
1.25e-09,4.453760120636722e-05
1.3e-09,4.453760156206246e-05
1.350000000000001e-09,4.45376013297753e-05
1.400000000000001e-09,4.453760109748815e-05
1.450000000000001e-09,4.4537600865201e-05
1.500000000000001e-09,4.453760063291384e-05
1.550000000000001e-09,4.453760058640809e-05
1.600000000000001e-09,4.453760081603073e-05
1.650000000000001e-09,4.453760104565338e-05
1.700000000000001e-09,4.453760127527603e-05
1.750000000000001e-09,4.453760150489868e-05
1.800000000000001e-09,4.453760141618528e-05
1.850000000000001e-09,4.453760119175658e-05
1.900000000000001e-09,4.453760096732787e-05
1.950000000000001e-09,4.453760074289917e-05
2.000000000000001e-09,4.453760051847046e-05
2.050000000000001e-09,4.446458490943455e-05
2.100000000000001e-09,4.403659783211371e-05
2.150000000000001e-09,4.394441549897945e-05
2.200000000000001e-09,4.393824958031611e-05
2.250000000000001e-09,4.393765303897124e-05
2.300000000000001e-09,4.393762977893324e-05
2.350000000000001e-09,4.393762216153996e-05
2.400000000000001e-09,4.393762853185542e-05
2.450000000000001e-09,4.393762339217614e-05
2.500000000000001e-09,4.393762727796941e-05
2.550000000000001e-09,4.39376236828532e-05
