/SUB_TOP_R (plaintext=89) X,/SUB_TOP_R (plaintext=89) Y
0,4.384892224719055e-05
5e-11,4.422475856515605e-05
9.999999999999999e-11,4.457127759238929e-05
1.5e-10,4.456445829643608e-05
2e-10,4.456551757217037e-05
2.5e-10,4.456557577466137e-05
2.999999999999999e-10,4.456559439545156e-05
3.499999999999999e-10,4.456558523302399e-05
3.999999999999999e-10,4.456558655433125e-05
4.499999999999999e-10,4.456558666672946e-05
4.999999999999999e-10,4.456558670368886e-05
5.5e-10,4.456558904104139e-05
6e-10,4.456558404778543e-05
6.5e-10,4.456558663157918e-05
7.000000000000001e-10,4.456559068667312e-05
7.500000000000001e-10,4.45655821959829e-05
8.000000000000001e-10,4.456558665685307e-05
8.500000000000002e-10,4.456559099658741e-05
9.000000000000002e-10,4.456558264471248e-05
9.500000000000002e-10,4.456558793664769e-05
1e-09,4.456559040415122e-05
1.05e-09,4.456558774129451e-05
1.1e-09,4.456558507843782e-05
1.15e-09,4.456558241558111e-05
1.2e-09,4.456558312649432e-05
1.25e-09,4.456558462161103e-05
1.3e-09,4.456558611672775e-05
1.350000000000001e-09,4.456558761184447e-05
1.400000000000001e-09,4.456558910696118e-05
1.450000000000001e-09,4.45655906020779e-05
1.500000000000001e-09,4.456558955882359e-05
1.550000000000001e-09,4.456558594061738e-05
1.600000000000001e-09,4.456558232241118e-05
1.650000000000001e-09,4.456558397815477e-05
1.700000000000001e-09,4.456558640585659e-05
1.750000000000001e-09,4.456558883355841e-05
1.800000000000001e-09,4.456559126126023e-05
1.850000000000001e-09,4.456558913459315e-05
1.900000000000001e-09,4.456558669734067e-05
1.950000000000001e-09,4.456558426008818e-05
2.000000000000001e-09,4.45655818228357e-05
2.050000000000001e-09,4.450482360248965e-05
2.100000000000001e-09,4.392478970001137e-05
2.150000000000001e-09,4.385374245264259e-05
2.200000000000001e-09,4.384924302731865e-05
2.250000000000001e-09,4.38489406203853e-05
2.300000000000001e-09,4.384892623374433e-05
2.350000000000001e-09,4.384891660032501e-05
2.400000000000001e-09,4.384892515827188e-05
2.450000000000001e-09,4.384892428443141e-05
2.500000000000001e-09,4.384892039194849e-05
2.550000000000001e-09,4.384892303709321e-05
2.600000000000001e-09,4.384892319085589e-05
2.650000000000001e-09,4.384892172477665e-05
2.700000000000001e-09,4.384892281427662e-05
2.750000000000001e-09,4.384892199615322e-05
2.800000000000001e-09,4.384892199432165e-05
2.850000000000002e-09,4.384892252202054e-05
2.900000000000002e-09,4.384892196078225e-05
2.950000000000002e-09,4.384892199472111e-05
3.000000000000002e-09,4.384892225019095e-05
3.050000000000002e-09,4.384892250566078e-05
3.100000000000002e-09,4.384892258127223e-05
3.150000000000002e-09,4.384892206906309e-05
3.200000000000002e-09,4.384892204375323e-05
3.250000000000002e-09,4.384892224813686e-05
3.300000000000002e-09,4.384892245252049e-05
3.350000000000002e-09,4.384892248298561e-05
3.400000000000002e-09,4.38489223821506e-05
3.450000000000002e-09,4.384892228131559e-05
3.500000000000002e-09,4.384892218048058e-05
3.550000000000002e-09,4.384892207964558e-05
3.600000000000002e-09,4.384892197881057e-05
3.650000000000002e-09,4.384892194409709e-05
3.700000000000002e-09,4.384892203190066e-05
3.750000000000002e-09,4.384892211970425e-05
3.800000000000002e-09,4.384892220750783e-05
3.850000000000001e-09,4.38489222953114e-05
3.900000000000001e-09,4.384892238311498e-05
3.950000000000001e-09,4.384892247091856e-05
4e-09,4.384892255872214e-05
4.05e-09,4.423097981691167e-05
4.099999999999999e-09,4.457104602030834e-05
4.149999999999999e-09,4.456446779508508e-05
4.199999999999999e-09,4.456551976834051e-05
4.249999999999998e-09,4.456558587821861e-05
4.299999999999998e-09,4.456558595482193e-05
4.349999999999998e-09,4.456558818392856e-05
4.399999999999997e-09,4.456558483769932e-05
4.449999999999997e-09,4.456558705736973e-05
4.499999999999996e-09,4.456558696883946e-05
4.549999999999996e-09,4.456558580624095e-05
4.599999999999996e-09,4.456558839518026e-05
4.649999999999995e-09,4.45655843903987e-05
4.699999999999995e-09,4.456558706606294e-05
4.749999999999995e-09,4.456558719352831e-05
4.799999999999994e-09,4.456558559248695e-05
4.849999999999994e-09,4.456558599766165e-05
4.899999999999993e-09,4.456558864263205e-05
4.949999999999993e-09,4.456558687978646e-05
4.999999999999993e-09,4.456558427852589e-05
5.049999999999992e-09,4.398490882949664e-05
5.099999999999992e-09,4.398490962930727e-05
5.149999999999992e-09,4.398477873360712e-05
5.199999999999991e-09,4.39849289252236e-05
5.249999999999991e-09,4.398470394082081e-05
5.29999999999999e-09,4.398466812569953e-05
5.34999999999999e-09,4.398478530456425e-05
5.39999999999999e-09,4.398490248342897e-05
5.449999999999989e-09,4.398501063638929e-05
5.499999999999989e-09,4.398493964629612e-05
5.549999999999988e-09,4.398486865620296e-05
5.599999999999988e-09,4.398479766610978e-05
5.649999999999988e-09,4.398472667601662e-05
5.699999999999987e-09,4.398465568592345e-05
5.749999999999987e-09,4.398462343211789e-05
5.799999999999987e-09,4.398470158773483e-05
5.849999999999986e-09,4.398477974335176e-05
5.899999999999986e-09,4.39848578989687e-05
5.949999999999985e-09,4.398493605458564e-05
5.999999999999985e-09,4.398501421020258e-05
6.049999999999985e-09,4.395473136063985e-05
6.099999999999984e-09,4.314401127820853e-05
6.149999999999984e-09,4.307356925582091e-05
6.199999999999984e-09,4.306964610298825e-05
6.249999999999983e-09,4.30692855369846e-05
6.299999999999983e-09,4.306930731362547e-05
6.349999999999982e-09,4.306927998624312e-05
6.399999999999982e-09,4.306929857900394e-05
6.449999999999982e-09,4.306928902781547e-05
6.499999999999981e-09,4.306928268511076e-05
6.549999999999981e-09,4.306929755598445e-05
6.599999999999981e-09,4.306926865931752e-05
6.64999999999998e-09,4.306930672739e-05
6.69999999999998e-09,4.306927678688506e-05
6.749999999999979e-09,4.306930689222248e-05
6.799999999999979e-09,4.306928555330546e-05
6.849999999999979e-09,4.306928887494499e-05
6.899999999999978e-09,4.306929482885643e-05
6.949999999999978e-09,4.306927025606151e-05
6.999999999999977e-09,4.306930422816028e-05
7.049999999999977e-09,4.306927263394729e-05
7.099999999999977e-09,4.306927759998878e-05
7.149999999999976e-09,4.306929314364007e-05
7.199999999999976e-09,4.306930868729135e-05
7.249999999999976e-09,4.306928383225197e-05
7.299999999999975e-09,4.306927738457493e-05
7.349999999999975e-09,4.306929766313098e-05
7.399999999999974e-09,4.306931002032001e-05
7.449999999999974e-09,4.306929997589146e-05
7.499999999999975e-09,4.306928993146291e-05
7.549999999999975e-09,4.306927988703436e-05
7.599999999999975e-09,4.30692698426058e-05
7.649999999999976e-09,4.30692743466349e-05
7.699999999999976e-09,4.30692864657805e-05
7.749999999999977e-09,4.306929858492609e-05
7.799999999999977e-09,4.306931070407168e-05
7.849999999999978e-09,4.3069302726696e-05
7.899999999999978e-09,4.306929058073192e-05
7.949999999999979e-09,4.306927843476783e-05
7.999999999999979e-09,4.306926628880374e-05
8.049999999999979e-09,4.34091277137807e-05
8.09999999999998e-09,4.666806358365761e-05
8.14999999999998e-09,4.731264647694042e-05
8.199999999999981e-09,4.731236142610151e-05
8.249999999999981e-09,4.731225110506934e-05
8.299999999999982e-09,4.731225695253885e-05
8.349999999999982e-09,4.731225325843438e-05
8.399999999999983e-09,4.731225315867128e-05
8.449999999999983e-09,4.731225579333864e-05
8.499999999999983e-09,4.731225160808022e-05
8.549999999999984e-09,4.731225591643986e-05
8.599999999999984e-09,4.731225433053891e-05
8.649999999999985e-09,4.731225041554971e-05
8.699999999999985e-09,4.73122570881144e-05
8.749999999999986e-09,4.731225279979353e-05
8.799999999999986e-09,4.731225347942812e-05
8.849999999999987e-09,4.731225555843953e-05
8.899999999999987e-09,4.731225125438743e-05
8.949999999999987e-09,4.731225657048607e-05
8.999999999999988e-09,4.731225399568701e-05
9.049999999999988e-09,4.731225097321713e-05
9.099999999999989e-09,4.73122568613554e-05
9.149999999999989e-09,4.731225239958241e-05
9.19999999999999e-09,4.731225104520531e-05
9.24999999999999e-09,4.731225335161255e-05
9.299999999999991e-09,4.731225565801978e-05
9.349999999999991e-09,4.731225796442701e-05
9.399999999999992e-09,4.731225327429362e-05
9.449999999999992e-09,4.731225060098398e-05
9.499999999999992e-09,4.731225326129111e-05
9.549999999999993e-09,4.731225592159823e-05
9.599999999999993e-09,4.731225817804098e-05
9.649999999999994e-09,4.731225599785168e-05
9.699999999999994e-09,4.731225381766237e-05
9.749999999999995e-09,4.731225163747306e-05
9.799999999999995e-09,4.731224964106017e-05
9.849999999999996e-09,4.731225186615698e-05
9.899999999999996e-09,4.731225409125379e-05
9.949999999999996e-09,4.731225631635061e-05
9.999999999999997e-09,4.731225854144742e-05
1.005e-08,4.735895722570354e-05
1.01e-08,4.681343318815815e-05
1.015e-08,4.679708205219319e-05
1.02e-08,4.679639789306073e-05
1.025e-08,4.67963485179876e-05
1.03e-08,4.679635540007365e-05
1.035e-08,4.679635379136477e-05
1.04e-08,4.679634575358465e-05
1.045e-08,4.679635302073926e-05
1.05e-08,4.679635546477337e-05
1.055e-08,4.679634706301857e-05
1.06e-08,4.679635117877401e-05
1.065e-08,4.679635657352571e-05
1.07e-08,4.679634800035322e-05
1.075e-08,4.679634909522014e-05
1.08e-08,4.679635768359867e-05
1.085e-08,4.679634899467617e-05
1.09e-08,4.679634697575641e-05
1.095000000000001e-08,4.679635878913396e-05
1.100000000000001e-08,4.679635004587917e-05
1.105000000000001e-08,4.679634487298445e-05
1.110000000000001e-08,4.679635983489911e-05
1.115000000000001e-08,4.679635109048674e-05
1.120000000000001e-08,4.679634256926849e-05
1.125000000000001e-08,4.67963468883141e-05
1.130000000000001e-08,4.679635120735971e-05
1.135000000000001e-08,4.679635552640532e-05
1.140000000000001e-08,4.679635984545093e-05
1.145000000000001e-08,4.679635786704139e-05
1.150000000000001e-08,4.679635484990219e-05
1.155000000000001e-08,4.679635183276298e-05
1.160000000000001e-08,4.679634881562378e-05
1.165000000000001e-08,4.679634579848458e-05
1.170000000000001e-08,4.679634278134537e-05
1.175000000000001e-08,4.679634535876728e-05
1.180000000000001e-08,4.679634836243167e-05
1.185000000000001e-08,4.679635136609606e-05
1.190000000000001e-08,4.679635436976045e-05
1.195000000000001e-08,4.679635737342484e-05
1.200000000000001e-08,4.679636037708923e-05
1.205000000000002e-08,4.699299024835959e-05
1.210000000000002e-08,4.732970325881574e-05
1.215000000000002e-08,4.731354584034445e-05
1.220000000000002e-08,4.731230817107385e-05
1.225000000000002e-08,4.731225620685234e-05
1.230000000000002e-08,4.731225252388338e-05
1.235000000000002e-08,4.73122567008602e-05
1.240000000000002e-08,4.73122553578467e-05
1.245000000000002e-08,4.731225349064689e-05
1.250000000000002e-08,4.731225162344706e-05
1.255000000000002e-08,4.731225408724661e-05
1.260000000000002e-08,4.731225644686433e-05
1.265000000000002e-08,4.731225459936286e-05
1.270000000000002e-08,4.731225275186139e-05
1.275000000000002e-08,4.731225149776684e-05
1.280000000000002e-08,4.731225521861656e-05
1.285000000000002e-08,4.731225588874005e-05
1.290000000000002e-08,4.731225401425264e-05
1.295000000000002e-08,4.731225213976522e-05
1.300000000000002e-08,4.731225265373483e-05
1.305000000000002e-08,4.731225643181169e-05
1.310000000000002e-08,4.731225531705297e-05
1.315000000000003e-08,4.731225341373157e-05
1.320000000000003e-08,4.731225151041017e-05
1.325000000000003e-08,4.731225384421031e-05
